               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.017886,            0.015187,           0.0015463,              0.9331,             0.76885,             0.82038,             0.52764,            0.022154,            0.020971,           0.0041686,           0.0099135,           0.0099135,           0.0099135
                 127,            0.016334,             0.01519,           0.0016294,             0.93803,             0.79308,             0.84052,             0.53556,            0.022057,            0.021631,           0.0036331,           0.0099121,           0.0099121,           0.0099121
                 128,            0.017272,            0.015236,           0.0015847,             0.87066,              0.8193,             0.83913,             0.53402,            0.022129,            0.021162,           0.0032874,           0.0099108,           0.0099108,           0.0099108
                 129,            0.018042,            0.016071,           0.0014214,             0.93141,             0.77089,             0.83043,             0.53982,            0.022447,             0.02103,           0.0030908,           0.0099093,           0.0099093,           0.0099093
                 130,            0.017116,            0.015647,           0.0017915,             0.92266,             0.78988,             0.82495,             0.52768,            0.022333,            0.022172,           0.0051859,           0.0099079,           0.0099079,           0.0099079
                 131,            0.017375,            0.015151,           0.0018661,               0.885,              0.7731,             0.81849,             0.52386,            0.022286,            0.021246,           0.0047492,           0.0099065,           0.0099065,           0.0099065
                 132,            0.017269,            0.015539,           0.0018302,              0.8959,             0.76321,             0.82092,             0.52491,            0.021627,            0.021699,           0.0046921,           0.0099051,           0.0099051,           0.0099051
                 133,            0.016436,            0.014516,           0.0017235,             0.92588,             0.74192,             0.82227,             0.51068,            0.022776,            0.022036,           0.0055735,           0.0099036,           0.0099036,           0.0099036
                 134,            0.016303,            0.015343,           0.0019689,             0.90232,             0.76046,             0.82986,             0.52842,            0.022564,            0.021928,           0.0058595,           0.0099022,           0.0099022,           0.0099022
                 135,            0.017653,            0.015471,           0.0016294,             0.88848,              0.8072,             0.84244,             0.54075,            0.022214,             0.02126,           0.0043595,           0.0099007,           0.0099007,           0.0099007
                 136,            0.017677,             0.01428,           0.0015684,             0.90964,             0.76735,             0.83879,             0.55297,            0.022106,            0.021654,            0.006067,           0.0098992,           0.0098992,           0.0098992
                 137,            0.016536,            0.014699,           0.0018393,             0.89802,             0.78351,             0.83416,             0.54997,            0.021622,            0.021651,           0.0048073,           0.0098977,           0.0098977,           0.0098977
                 138,            0.017146,            0.014439,           0.0018682,             0.92558,             0.79717,             0.84528,             0.54613,            0.022043,            0.021525,            0.004482,           0.0098962,           0.0098962,           0.0098962
                 139,            0.017912,            0.015167,           0.0020366,             0.93501,             0.77492,             0.82696,             0.53873,            0.022126,            0.020751,           0.0047392,           0.0098947,           0.0098947,           0.0098947
                 140,            0.016994,            0.015188,           0.0015968,             0.90901,             0.78965,             0.82358,             0.53812,            0.022103,            0.021625,           0.0042232,           0.0098932,           0.0098932,           0.0098932
                 141,            0.017381,            0.014652,           0.0014524,             0.89953,             0.79253,             0.83694,             0.53949,            0.022143,            0.021958,           0.0036584,           0.0098916,           0.0098916,           0.0098916
                 142,            0.015938,            0.015192,           0.0012641,             0.93165,             0.80219,             0.84843,             0.54542,            0.021873,            0.021199,           0.0038757,           0.0098901,           0.0098901,           0.0098901
                 143,            0.016425,            0.014425,            0.001295,             0.93872,             0.79555,             0.85983,             0.54291,            0.021891,            0.021378,             0.00338,           0.0098885,           0.0098885,           0.0098885
                 144,            0.015841,            0.014462,           0.0010686,             0.93443,             0.80386,             0.84475,             0.55288,            0.021639,            0.021634,           0.0055678,            0.009887,            0.009887,            0.009887
                 145,            0.015439,            0.014147,           0.0012426,             0.93288,             0.78962,             0.84905,             0.54806,            0.022053,            0.021656,           0.0038522,           0.0098854,           0.0098854,           0.0098854
                 146,            0.016587,            0.014464,           0.0012417,             0.90599,             0.80603,             0.85231,             0.56799,            0.021914,            0.021322,           0.0040622,           0.0098838,           0.0098838,           0.0098838
                 147,            0.016893,            0.014373,            0.001456,              0.9151,             0.77327,             0.84013,             0.55022,            0.022584,            0.022062,           0.0028437,           0.0098822,           0.0098822,           0.0098822
